CPU   THREAD             VAL             ENA             RUN            TIME EVENT
 -1     1615         4015072        99786024         7848940       100413417 branches
 -1     1615           67348        99825697         7887645       100413417 branch-misses
 -1     1615          103176        99838079        10542341       100413417 cache-references
 -1     1615           66161        99854156        14541052       100413417 cache-misses
 -1     1615        33619287        99862176        15937231       100413417 cycles
 -1     1615        50951441        99888649        19937052       100413417 instructions
 -1     1615          263805        99896492        19941553       100413417 L1-dcache-load-misses
 -1     1615        14561129        99905485        19998891       100413417 L1-dcache-loads
 -1     1615           14903        99914847        20000238       100413417 L1-dcache-prefetch-misses
 -1     1615           65836        99921071        20000667       100413417 L1-dcache-prefetches
 -1     1615           72003        99925299        15997106       100413417 L1-dcache-store-misses
 -1     1615         5083000        99929562        15999673       100413417 L1-dcache-stores
 -1     1615         1332284        99933594        15999218       100413417 L1-icache-load-misses
 -1     1615        10868544        99937545        15999355       100413417 L1-icache-loads
 -1     1615            4659        99946716        16000244       100413417 LLC-load-misses
 -1     1615           19947        99950896        15999697       100413417 LLC-loads
 -1     1615            6778        99954859        15999568       100413417 dTLB-load-misses
 -1     1615        11769780        99958815        16000214       100413417 dTLB-loads
 -1     1615            1127        99968609        16000072       100413417 dTLB-store-misses
 -1     1615         6138943        99973336        15999641       100413417 dTLB-stores
 -1     1615            1758        99977558        16000603       100413417 iTLB-load-misses
 -1     1615        42630104        99981770        15999718       100413417 iTLB-loads
 -1     1615         5735430        99991124        15999840       100413417 branch-load-misses
 -1     1615         8555343        99995438        15999944       100413417 branch-loads
 -1     1615               0        99999485        15999108       100413417 mem-loads
 -1     1615         5761231       100005141        13464853       100413417 stalled-cycles-backend
 -1     1615         9091750       100016671         9476121       100413417 stalled-cycles-frontend
 -1     1615         9771199       200813863        18603056       201375323 branches
 -1     1615          162138       200834639        22601840       201375323 branch-misses
 -1     1615          168519       200845011        26541685       201375323 cache-references
 -1     1615           92365       200853436        30541248       201375323 cache-misses
 -1     1615        67552452       200859645        31937152       201375323 cycles
 -1     1615       104395537       200865837        39936011       201375323 instructions
 -1     1615          485158       200872002        39941401       201375323 L1-dcache-load-misses
 -1     1615        29230823       200878144        39998488       201375323 L1-dcache-loads
 -1     1615           22724       200884299        39999807       201375323 L1-dcache-prefetch-misses
 -1     1615          127731       200890512        39999812       201375323 L1-dcache-prefetches
 -1     1615          137289       200896641        31996779       201375323 L1-dcache-store-misses
 -1     1615        11237788       200902789        31999890       201375323 L1-dcache-stores
 -1     1615         3241004       200908737        31999055       201375323 L1-icache-load-misses
 -1     1615        25000265       200914796        31999915       201375323 L1-icache-loads
 -1     1615            7045       200920941        32000253       201375323 LLC-load-misses
 -1     1615           33962       200927143        31999394       201375323 LLC-loads
 -1     1615           14123       200933128        31999733       201375323 dTLB-load-misses
 -1     1615        23443113       200942361        31999633       201375323 dTLB-loads
 -1     1615            2274       200946136        31999775       201375323 dTLB-store-misses
 -1     1615        12284990       200949750        32000336       201375323 dTLB-stores
 -1     1615            3564       200953276        32000316       201375323 iTLB-load-misses
