CPU   THREAD             VAL             ENA             RUN            TIME EVENT
 -1     2686        10615701       480506353        67602479       500417996 branches
 -1     2686           54131       480543272        71607815       500417996 branch-misses
 -1     2686         2886212       480554584        75603502       500417996 cache-references
 -1     2686         2951878       480569735        79594068       500417996 cache-misses
 -1     2686       169319074       480577598        80002852       500417996 cycles
 -1     2686        96848234       480602627        99995502       500417996 instructions
 -1     2686         4043081       480610720        99992373       500417996 L1-dcache-load-misses
 -1     2686        19480611       480617561        99992262       500417996 L1-dcache-loads
 -1     2686           12540       480631798       100001787       500417996 L1-dcache-prefetch-misses
 -1     2686          101916       480637655       100058463       500417996 L1-dcache-prefetches
 -1     2686         3135734       480642078        79986940       500417996 L1-dcache-store-misses
 -1     2686        21992194       480646313        79982540       500417996 L1-dcache-stores
 -1     2686           76611       480654745        77238139       500417996 L1-icache-load-misses
 -1     2686        20365312       480661345        73183791       500417996 L1-icache-loads
 -1     2686           12434       480672820        69267458       500417996 LLC-load-misses
 -1     2686           16810       480680239        65281238       500417996 LLC-loads
 -1     2686          340184       480686160        63994306       500417996 dTLB-load-misses
 -1     2686        15597509       480690294        63992599       500417996 dTLB-loads
 -1     2686           83584       480698732        63996770       500417996 dTLB-store-misses
 -1     2686        16627143       480703121        63998752       500417996 dTLB-stores
 -1     2686           27510       480706884        64003619       500417996 iTLB-load-misses
 -1     2686        68230588       480710743        64003335       500417996 iTLB-loads
 -1     2686         6859906       480718837        63996178       500417996 branch-load-misses
 -1     2686        10922291       480723236        63815536       500417996 branch-loads
 -1     2686               0       480727251        63820263       500417996 mem-loads
 -1     2686        75704969       480731113        63824235       500417996 stalled-cycles-backend
 -1     2686       102045288       480741839        63827849       500417996 stalled-cycles-frontend
 -1     2686        42904283       981510780       147591064      1001374063 branches
 -1     2686         1522529       981531642       151592296      1001374063 branch-misses
 -1     2686         4215476       981545666       153774243      1001374063 cache-references
 -1     2686         3884410       981556495       153771607      1001374063 cache-misses
 -1     2686       318048968       981564946       150188164      1001374063 cycles
 -1     2686       361270246       981573315       186189180      1001374063 instructions
